Token,Frequency,Synonyms
stupid,20,"['stupid', 'stunned', 'pudding_head', 'pillock', 'stupefied', 'dolt', 'dullard', 'poor_fish', 'unintelligent', 'stupid_person', 'dazed', 'pudden-head', 'stupe']"
agree,20,"['agree', 'harmonize', 'tally', 'concur', 'harmonise', 'accord', 'concord', 'hold', 'check', 'fit_in', 'consort', 'match', 'gibe', 'jibe', 'correspond', 'fit']"
harris,20,"['harris', 'Frank_Harris', 'James_Thomas_Harris', 'Sir_Arthur_Travers_Harris', 'Bomber_Harris', 'Townsend_Harris', 'Zellig_Harris', 'Benjamin_Harris', 'Harris', 'Zellig_Sabbatai_Harris', 'Joel_Harris', 'Joel_Chandler_Harris']"
speech,20,"['speech', 'spoken_language', 'spoken_communication', 'voice_communication', 'lecture', 'language', 'delivery', 'speech_communication', 'words', 'talking_to\', ""actor\'s_line"", \'manner_of_speaking', 'oral_communication', 'address']"
citizen,20,"['citizen', 'trump', 'elections', 'america', 'politics']"
signed,20,"['signed', 'sign-language', 'gestural', 'signal', 'sign_up', 'signalise', 'sign', 'subscribe', 'contract', 'ratify', 'signalize', 'bless', 'sign_on']"
Berliner,20,['Berliner']
magnitude,20,"['magnitude', 'order_of_magnitude']"
truly,19,"['truly', 'unfeignedly', 'in_truth', 'genuinely', 'rightfully', 'really', 'sincerely']"
campaign,19,"['campaign', 'take_the_field', 'fight', 'hunting_expedition', 'political_campaign', 'agitate', 'election', 'press', 'push', 'safari', 'run', 'military_campaign', 'effort', 'drive', 'cause', 'movement', 'crusade']"
four,19,"['four', 'quaternion', 'iv', 'quaternary', 'quatern', 'tetrad', 'quaternity', '4', 'Little_Joe', 'foursome', 'quadruplet', 'four-spot', 'quartet', 'IV']"
force,19,"['force', 'military_group', 'personnel', 'power', 'military_unit', 'wedge', 'storm', 'pressure', 'violence', 'squeeze', 'drive', 'force-out', 'hale', 'force_play', 'ram', 'push', 'forcefulness', 'strength', 'effect', 'military_force', 'thrust', 'draw', 'impel', 'coerce', 'force_out', 'pull']"
politician,19,"['politician', 'politico', 'political_leader', 'pol']"
anything,19,['anything']
ryanafournier,19,['ryanafournier']
arrested,19,"['arrested', 'halt', 'hold', 'arrest', 'apprehend', 'check', 'turn_back', 'collar', 'stop', 'contain', 'catch', 'hold_back', 'cop', 'pick_up', 'get', 'nail', 'nab']"
fraud,19,"['fraud', 'fake', 'pseud', 'impostor', 'faker', 'dupery', 'role_player', 'imposter', 'sham', 'shammer', 'pretender', 'hoax', 'humbug', 'fraudulence', 'put-on', 'pseudo']"
w_terrence,19,['w_terrence']
else,19,['else']
taking,19,"['taking', 'ask', 'admit', 'carry', 'exact', 'submit', 'claim', 'pickings', 'pack', 'train', 'engage', 'require', 'take_aim', 'consume', 'have', 'drive', 'contract', 'rent', 'aim', 'accept', 'take_up', 'film', 'fetching', 'occupy', 'hold', 'read', 'get_hold_of', 'study', 'postulate', 'select', 'take_away', 'take', 'subscribe_to', 'choose', 'withdraw', 'winning', 'look_at', 'lead', 'direct', 'pick_out', 'subscribe', 'convey', 'charter', 'conduct', 'take_in', 'remove', 'contain', 'consider', 'get', 'acquire', 'need', 'deal', 'shoot', 'demand', 'guide', 'hire', 'take_on', 'ingest', 'lease', 'strike', 'make', 'call_for', 'necessitate', 'adopt', 'bring', 'fill', 'assume', 'use_up', 'involve', 'learn']"
nancy,19,"['nancy', 'Nancy']"
lying,19,"['lying', 'rest', 'prevarication', 'consist', 'lie_in', 'dwell', 'lie', 'lie_down', 'fabrication']"
watching,19,"['watching', 'follow', 'see', 'check', 'observe', 'observation', 'look_out', 'determine', 'look_on', 'observance', 'watch_out', 'catch', 'take_in', 'watch_over', 'view', 'find_out', 'ascertain', 'keep_an_eye_on', 'learn', 'watch']"
place,19,"['place', 'pose', 'piazza', 'blank_space', 'come_out', 'position', 'shoes', 'commit', 'locate', 'aim', 'situation', 'identify', 'home', 'order', 'seat', 'rank', 'post', 'rate', 'set', 'target', 'grade', 'billet', 'site', 'lay', 'point', 'space', 'localise', 'berth', 'send', 'come_in', 'property', 'office', 'invest', 'direct', 'plaza', 'put', 'range', 'stead', 'spot', 'topographic_point', 'station', 'localize', 'lieu']"
electroboyusa,19,['electroboyusa']
gopleader,19,['gopleader']
rosannaphillip,19,['rosannaphillip']
freedom,19,"['freedom', 'exemption']"
answer,19,"['answer', 'do', 'resolution', 'result', 'solution', 'response', 'respond', 'resolve', 'serve', 'reply', 'suffice', 'solvent']"
soon,19,"['soon', 'presently', 'before_long', 'shortly']"
valerio_scanu,19,['valerio_scanu']
huge,18,"['huge', 'Brobdingnagian', 'vast', 'immense']"
price,18,"['price', 'cost', 'damage', 'toll', 'Price', 'Leontyne_Price', 'terms', 'Mary_Leontyne_Price', 'monetary_value']"
heart,18,"['heart', 'essence', 'middle', 'substance', 'fondness', 'core', 'warmheartedness', 'gist', 'spirit', 'centre', 'spunk', 'center', 'affection', 'bosom', 'ticker', 'philia', 'marrow', 'mettle', 'sum', 'meat', 'warmness', 'nitty-gritty', 'eye', 'nerve', 'pump', 'tenderness', 'affectionateness', 'nub', 'pith', 'heart_and_soul', 'kernel', 'inwardness']"
understand,18,"['understand', 'interpret', 'empathise', 'see', 'realise', 'sympathise', 'read', 'realize', 'sympathize', 'translate', 'infer', 'empathize']"
agent,18,"['agent', 'agentive_role', 'federal_agent', 'factor', 'broker']"
domestic,18,"['domestic', 'domesticated', 'house_servant', 'domestic_help']"
virus,18,"['virus', 'computer_virus']"
head,18,"['head', 'forefront', 'read/write_head', 'oral_sex', 'head_teacher', 'foreland', 'headway', 'headland', 'chief', 'lead', 'capitulum', 'head_word', 'manoeuver', 'point', 'head_up', 'principal', 'top_dog', 'pass', 'school_principal', 'promontory', 'nous', 'guide', 'channelise', 'fountainhead', 'channelize', 'headspring', 'direct', 'maneuver', 'drumhead', 'caput', 'psyche', 'question', 'heading', 'steer', 'mind', 'straits', 'manoeuvre', 'header', 'brain']"
cost,18,"['cost', 'monetary_value', 'price', 'toll', 'be']"
tonight,18,"['tonight', 'this_evening', 'this_night']"
schumer,18,['schumer']
insurrection,18,"['insurrection', 'rising', 'rebellion', 'uprising', 'revolt']"
obama,18,"['obama', 'prexy', 'president', 'President', 'President_of_the_United_States', 'United_States_President', 'Chief_Executive', 'chairman', 'chairwoman', 'chair', 'chairperson']"
thousand,18,"['thousand', 'K', 'm', 'k', 'M', 'yard', 'chiliad', '1000', 'one_thousand', 'grand', 'thou', 'G']"
idea,18,"['idea', 'approximation', 'estimate', 'thought', 'theme', 'melodic_theme', 'musical_theme', 'mind', 'estimation']"
starting,18,"['starting', 'take_up', 'get_down', 'set_forth', 'start', 'part', 'initiate', 'startle', 'depart', 'start_out', 'set_off', 'start_up', 'bulge', 'begin', 'lead_off', 'take_off', 'bulge_out', 'come_out', 'pop', 'get_going', 'embark_on', 'set_about', 'originate', 'get', 'bug_out', 'set_out', 'pop_out', 'commence', 'protrude', 'go', 'jump']"
group,18,"['group', 'mathematical_group', 'grouping', 'aggroup', 'radical', 'chemical_group']"
care,18,"['care', 'maintenance', 'upkeep', 'tending', 'fear', 'caution', 'give_care', 'like', 'attention', 'manage', 'wish', 'precaution', 'worry', 'deal', 'tutelage', 'handle', 'aid', 'charge', 'concern', 'guardianship', 'forethought']"
tedcruz,18,['tedcruz']
fight,18,"['fight', 'defend', 'oppose', 'fighting', 'struggle', 'scrap', 'press', 'combat', 'crusade', 'conflict', 'push', 'fight_back', 'engagement', 'competitiveness', 'agitate', 'fight_down', 'contend', 'battle', 'campaign']"
human,18,"['human', 'homo', 'man', 'human_being']"
game,18,"['game', 'halting', 'gamey', 'mettlesome', 'spunky', 'back', 'secret_plan', 'biz', 'lame', 'bet_on', 'spirited', 'punt', 'gage', 'plot', 'gritty', 'stake', 'halt', 'gamy', 'crippled', 'gimpy']"
january,18,"['january', 'January', 'Jan']"
threat,18,"['threat', 'scourge', 'menace', 'terror']"
peatches66,18,['peatches66']
valerio,18,['valerio']
scanu,18,['scanu']
tha5sosvote,18,['tha5sosvote']
dancingwithastranger,18,['dancingwithastranger']
violence,17,"['violence', 'ferocity', 'furiousness', 'fierceness', 'force', 'vehemence', 'wildness', 'fury']"
article,17,"['article', 'clause']"
open,17,"['open', 'unfold', 'capable', 'spread', 'out-of-doors', 'open_air', 'clear', 'spread_out', 'undefendable', 'heart-to-heart', 'afford', 'exposed', 'undecided', 'assailable', 'unresolved', 'unfastened', 'outdoors', 'receptive', 'loose', 'overt', 'subject', 'open_up', 'opened', 'undefended', 'candid', 'surface', 'give', 'undetermined']"
killed,17,"['killed', 'pour_down', 'toss_off', 'belt_down', 'down', 'bolt_down', 'stamp_out', 'pop', 'shoot_down', 'defeat', 'vote_out', 'obliterate', 'drink_down', 'wipe_out', 'vote_down', 'kill']"
everything,17,"['everything', 'all']"
insulin,17,"['insulin', 'disease', 'panademic', 'covid']"
kk131066,17,['kk131066']
trust,17,"['trust', 'confide', 'intrust', 'confidence', 'cartel', 'swear', 'reliance', 'trustfulness', 'believe', 'combine', 'bank', 'desire', 'rely', 'corporate_trust', 'trustingness', 'entrust', 'faith', 'commit', 'hope']"
different,17,"['different', 'unlike', 'dissimilar']"
fact,17,['fact']
john,17,"['john', 'whoremaster', 'John_the_Evangelist', 'John_the_Divine', 'can', 'Gospel_According_to_John', 'whoremonger', 'St._John', 'privy', 'lav', 'toilet', 'lavatory', 'Saint_John', 'St._John_the_Apostle', 'John', 'bathroom', 'trick', 'John_Lackland', 'Saint_John_the_Apostle', 'King_John']"
important,17,"['important', 'crucial', 'authoritative', 'of_import', 'significant']"
high,17,"['high', 'heights', 'high-pitched', 'mellow', 'high_school', 'highschool', 'gamey', 'luxuriously', 'in_high_spirits', 'senior_high_school', 'high_gear', 'eminent', 'senior_high', 'high_up', 'richly', 'gamy']"
fake,17,"['fake', 'counterfeit', 'pseudo\', ""talk_through_one\'s_hat"", \'faux', 'juke', 'sham', 'fudge', 'bullshit', 'cook', 'faker', 'wangle', 'forge', 'misrepresent', 'impostor', 'imposter', 'phoney', 'role_player', 'shammer', 'imitation', 'phony', 'fraud', 'bastard', 'pseud', 'bogus', 'falsify', 'manipulate', 'simulated', 'postiche', 'false', 'bull', 'pretender']"
wait,17,"['wait', 'look', 'await', 'postponement', 'hold_back', 'waitress', 'hold_off', 'expect', 'waiting', 'hold', 'time_lag', 'delay']"
light,17,"['light', 'calorie-free', 'brightness_level', 'loose', 'light-colored', 'swooning', 'spark', 'lighting', 'Christ_Within', 'sparkle', 'lighter', 'Light', 'illuminate', 'ignite', 'twinkle', 'brightness', 'get_down', 'faint', 'idle', 'lightheaded', 'illumine', 'light-headed', 'easy', 'clear', 'fire_up', 'unclouded', 'ignitor', 'lightly', 'Inner_Light', 'unhorse', 'unaccented', 'dismount', 'scant', 'weak', 'get_off', 'clean', 'promiscuous', 'luminosity', 'igniter', 'luminance', 'tripping', 'alight', 'perch', 'sluttish', 'light_source', 'lite', 'light_up', 'luminousness', 'wanton', 'lightness', 'fall', 'wakeful', 'lightsome', 'low-cal', 'visible_radiation', 'abstemious', 'Light_Within', 'short', 'visible_light', 'illume', 'illumination']"
list,17,"['list', 'heel', 'listing', 'lean', 'tilt', 'name', 'inclination', 'number', 'leaning']"
jesus,17,"['jesus', 'Jesus_of_Nazareth', 'Good_Shepherd', 'the_Nazarene', 'Jesus', 'Jesus_Christ', 'Savior', 'Saviour', 'Deliverer', 'Redeemer', 'Christ']"
funny,17,"['funny', 'fishy', 'good_story', 'laughable', 'curious', 'odd', 'comical', 'suspect', 'peculiar', 'funny_story', 'comic', 'risible', 'funny_remark', 'queer', 'shady', 'singular', 'mirthful', 'amusing', 'suspicious', 'rummy', 'rum']"
small,17,"['small', 'low', 'diminished', 'minuscule', 'pocket-size', 'lowly', 'humble', 'belittled', 'minor', 'pocket-sized', 'little', 'modest', 'small-scale']"
kamalaharris,17,['kamalaharris']
college,17,"['college', 'school']"
expert,17,"['expert', 'good', 'adept', 'technical', 'skilful', 'proficient', 'practiced', 'skillful']"
hatinhate,17,['hatinhate']
debjarvis4,17,['debjarvis4']
brendabalazs,17,['brendabalazs']
jodispissed8645,17,['jodispissed8645']
97juv6a7d8,17,['97juv6a7d8']
harry_styles,17,['harry_styles']
secret,16,"['secret', 'privy', 'mystic', 'underground', 'cloak-and-dagger', 'undercover', 'closed_book', 'secluded', 'clandestine', 'mysterious', 'surreptitious', 'mystery', 'hugger-mugger', 'occult', 'hush-hush', 'hidden', 'orphic', 'private', 'hole-and-corner', 'enigma', 'confidential', 'arcanum', 'unavowed', 'mystical']"
latest,16,"['latest', 'former', 'in_vogue', 'late', 'in_style', 'up-to-the-minute', 'previous', 'a_la_mode', 'recent', 'tardy', 'belated', 'later', 'modish']"
totally,16,"['totally', 'completely', 'entirely', 'whole', 'all', 'altogether', 'wholly']"
double,16,"['double', 'look-alike', 'forked', 'image', 'doubly', 'twofold', 'two-bagger', 'three-fold', 'treble', 'doubled', 'bivalent', 'duple', 'stunt_man', 'two-base_hit', 'repeat', 'two-baser', 'double_up', 'duplicate', 'doubling', 'threefold', 'twice', 'stunt_woman', 'dual', 'two-fold', 'reduplicate', 'replicate', 'double_over']"
sound,16,"['sound', 'legal', 'healthy', 'go', 'reasoned', 'profound', 'auditory_sensation', 'strait', 'vocalize', 'level-headed', 'intelligent', 'wakeless', 'effectual', 'well-grounded', 'audio', 'heavy', 'fathom', 'voice', 'speech_sound', 'good', 'vocalise', 'phone', 'levelheaded']"
problem,16,"['problem', 'trouble', 'job']"
including,16,"['including', 'include', 'let_in', 'admit']"
proud,16,"['proud', 'lofty', 'gallant', 'majestic']"
self,16,"['self', 'ego']"
seen,16,"['seen', 'understand', 'visit', 'go_out', 'go_steady', 'interpret', 'encounter', 'escort', 'learn', 'attend', 'pick_up', 'visualise', 'see_to_it', 'view', 'run_across', 'look', 'run_into', 'find', 'discover', 'ascertain', 'come_across', 'realise', 'experience', 'picture', 'visualize', 'meet', 'watch', 'image', 'see', 'date', 'reckon', 'get_wind', 'project', 'insure', 'realize', 'envision', 'regard', 'determine', 'control', 'find_out', 'examine', 'get_a_line', 'witness', 'construe', 'hear', 'fancy', 'get_word', 'go_through', 'ensure', 'take_in', 'consider', 'check', 'figure', 'take_care', 'assure', 'catch']"
isaiah,16,"['isaiah', 'Isaiah', 'Book_of_Isaiah']"
governor,16,"['governor', 'regulator']"
peace,16,"['peace', 'peace_treaty', 'serenity', 'heartsease', 'repose', 'peace_of_mind', 'pacification', 'public_security', 'ataraxis', 'peacefulness']"
realcandaceo,16,['realcandaceo']
worker,16,"['worker', 'actor', 'proletarian', 'doer', 'prole']"
though,16,['though']
continues,16,"['continues', 'preserve', 'keep_on', 'retain', 'stay_on', 'proceed', 'extend', 'go_forward', 'go_along', 'remain', 'cover', 'uphold', 'carry_on', 'keep', 'go_on', 'stay', 'continue', 'bear_on', 'persist_in']"
click,16,"['click', 'suction_stop', 'chink', 'flick', 'pawl', 'get_across', 'mouse_click', 'clack', 'snap', 'detent', 'cluck', 'get_through', 'penetrate', 'sink_in', 'tick', 'fall_into_place', 'dawn', 'clink', 'come_home', 'chatter', 'dog']"
giving,16,"['giving', 'commit', 'consecrate', 'break', 'collapse', 'sacrifice', 'freehanded', 'generate', 'kick_in', 'turn_over', 'return', 'render', 'big', 'pay', 'hold', 'impart', 'devote', 'establish', 'fall_in', 'present', 'leave', 'have', 'reach', 'contribute', 'give_way', 'apply', 'liberal', 'move_over', 'grant', 'chip_in', 'feed', 'open', 'bounteous', 'pass_on', 'hand', 'gift', 'handsome', 'bountiful', 'yield', 'founder', 'ease_up', 'bighearted', 'openhanded', 'throw', 'pass', 'cave_in', 'afford', 'give', 'make', 'dedicate']"
turn,16,"['turn', 'act', 'work', 'turn_of_events', 'release', 'turning', 'change_state', 'rick', 'reverse', 'tour', 'ferment', 'crook', 'plough', 'move_around', 'sour', 'grow', 'number', 'round', 'call_on', 'turn_over', 'play', 'sprain', 'flex', 'spell', 'deform', 'good_turn', 'wrench', 'routine', 'bout', 'twist', 'bend', 'change_by_reversal', 'plow', 'become', 'bit', 'go', 'wrick']"
garage,16,"['garage', 'service_department']"
actually,16,"['actually', 'really', 'in_reality']"
unfollowed,16,['unfollowed']
atrumpest,16,"['atrumpest', 'majority', 'Chief_Executive', 'delegate', 'prim', 'platform', 'chair', 'heart', 'silent', 'President_of_the_United_States', 'donald', 'nominee', 'party', 'checks', 'poll', 'pulpit', 'state', 'outflank', 'senator', 'white', 'politic', 'bully', 'house', 'primary', 'campaign', 'coattail', 'chairperson', 'trump', 'United_States_President', 'prexy', 'election', 'caucus', 'government', 'vote', 'bipartisan', 'president', 'bleeding', 'chairman', 'minister', 'gov', 'balance']"
PROMPT,16,"['PROMPT', 'motivate', 'straightaway', 'immediate', 'command_prompt', 'inspire', 'prompting', 'remind', 'actuate', 'cue', 'quick', 'instigate', 'incite', 'propel', 'move', 'prompt']"
norberta36,16,['norberta36']
stray_kids,16,['stray_kids']
xchangewiser,16,['xchangewiser']
justice,15,"['justice', 'judge', 'Justice', 'Justice_Department', 'justness', 'DoJ', 'Department_of_Justice', 'jurist']"
health,15,"['health', 'wellness']"
share,15,"['share', 'partake_in', 'partake', 'ploughshare', 'portion', 'part', 'deal', 'divvy_up', 'plowshare', 'parcel', 'portion_out', 'percentage', 'contribution', 'apportion']"
foreign,15,"['foreign', 'extraneous', 'strange', 'alien']"
sport,15,"['sport', 'sportswoman', 'athletics', 'boast', 'mutant', 'sportsman', 'disport', 'summercater', 'run_around', 'lark', 'gambol', 'play', 'rollick', 'romp', 'variation', 'skylark', 'cavort', 'frolic', 'mutation', 'fun', 'feature', 'lark_about', 'frisk']"
claim,15,"['claim', 'take', 'title', 'exact', 'call', 'lay_claim', 'arrogate']"
christian,15,"['christian', 'Christian']"
economy,15,"['economy', 'saving', 'economic_system', 'thriftiness']"
dems,15,['dems']
moment,15,"['moment', 'consequence', 'bit', 'mo', 'here_and_now', 'present_moment', 'import', 'second', 'instant', 'minute']"
whole,15,"['whole', 'unscathed', 'unit', 'wholly', 'completely', 'all', 'solid', 'totally', 'hale', 'unhurt', 'altogether', 'entirely', 'unanimous', 'unharmed']"
change,15,"['change', 'variety', 'alter', 'commute', 'exchange', 'switch', 'vary', 'modify', 'transfer', 'shift', 'alteration', 'interchange', 'deepen', 'convert', 'modification']"
bless,15,"['bless', 'hallow', 'consecrate', 'sign', 'sanctify']"
single,15,"['single', 'exclusive', 'individual', 'ace', 'bingle', 'unity', 'undivided', 'I', '1', 'one', 'unmarried']"
ecomemory1,15,['ecomemory1']
shall,15,['shall']
continue,15,"['continue', 'extend', 'keep', 'stay', 'remain', 'persist_in', 'go_on', 'go_along', 'retain', 'go_forward', 'keep_on', 'uphold', 'proceed', 'bear_on', 'carry_on', 'cover', 'stay_on', 'preserve']"
deal,15,"['deal', 'contend', 'share', 'address', 'muckle', 'sight', 'plenty', 'take', 'carry_on', 'grapple', 'hatful', 'handle', 'wad', 'portion_out', 'slew', 'quite_a_little', 'cover', 'dispense', 'mete_out', 'dole_out', 'deal_out', 'mass', 'tidy_sum', 'hand', 'make_do', 'mess', 'treat', 'divvy_up', 'stack', 'plow', 'peck', 'trade', 'consider', 'manage', 'pile', 'lot', 'care', 'pot', 'business_deal', 'softwood', 'good_deal', 'distribute', 'look_at', 'parcel_out', 'allot', 'mickle', 'heap', 'make_out', 'batch', 'flock', 'passel', 'administer', 'bargain', 'dish_out', 'mountain', 'shell_out', 'conduct', 'apportion', 'great_deal', 'get_by', 'spate', 'sell', 'raft', 'cope', 'mint']"
direction,15,"['direction', 'counseling', 'guidance', 'management', 'focus', 'centering', 'counselling', 'commission', 'instruction', 'charge', 'focal_point', 'counsel', 'steering', 'focussing', 'way', 'focusing']"
action,15,"['action', 'carry_out', 'military_action', 'fulfill', 'fulfil', 'sue', 'action_mechanism', 'natural_action', 'legal_action', 'process', 'accomplish', 'litigate', 'activeness', 'activity', 'execute', 'natural_process', 'action_at_law', 'carry_through']"
episode,15,"['episode', 'installment', 'sequence', 'instalment']"
shit,15,"['shit', 'damn', 'take_a_shit', 'motherfucker', 'Irish_bull\', ""tinker\'s_damn"", \'take_a_crap', 'crap', 'stool', 'darn', 'whoreson', 'dickhead', 'shucks', 'diddly-shit', 'doodly-squat', 'diddley', 'asshole', 'snitch', 'shop', 'prick', 'bull', 'bullshit', 'dogshit\', ""tinker\'s_dam"", \'dump', 'betray', 'grass', 'diddlysquat', 'defecate', 'jack', 'dirt', 'red_cent', 'make', 'ca-ca', 'turd', 'bastard', 'rat', 'horseshit', 'denounce', 'give_away', 'poop', 'diddlyshit', 'hoot', 'tell_on', 'squat', 'cocksucker', 'SOB', 'stag', 'diddly', 'mother_fucker', 'son_of_a_bitch', 'shite', 'diddly-squat']"
team,15,"['team', 'team_up', 'squad']"
past,15,"['past', 'by', 'retiring', 'preceding', 'yesteryear', 'past_tense', 'past_times']"
apple,15,"['apple', 'orchard_apple_tree', 'Malus_pumila']"
fire,15,"['fire', 'flame', 'provoke', 'arouse', 'go_off', 'give_the_axe', 'give_notice', 'ardor', 'fervour', 'send_away', 'dismiss', 'kindle', 'flack', 'blast', 'terminate', 'fervor', 'fuel', 'can', 'burn', 'flaming', 'sack', 'discharge', 'displace', 'ardour', 'raise', 'fervidness', 'open_fire', 'enkindle', 'elicit', 'burn_down', 'attack', 'give_the_sack', 'firing', 'evoke', 'force_out', 'fervency', 'flak']"
sign,15,"['sign', 'gestural', 'signaling', 'signal', 'signboard', 'star_sign', 'sign_of_the_zodiac', 'planetary_house', 'mansion', 'subscribe', 'augury', 'sign-language', 'polarity', 'contract', 'sign_on', 'foretoken', 'ratify', 'preindication', 'house', 'mark', 'signalise', 'signalize', 'bless', 'signed', 'sign_up']"
hate,15,"['hate', 'detest', 'hatred']"
flag,15,"['flag', 'pin', 'ease_up', 'slacken_off', 'flagstone', 'iris', 'droop', 'signal_flag', 'ease_off', 'sag', 'fleur-de-lis', 'swag', 'masthead', 'sword_lily']"
advisor,15,"['advisor', 'consultant', 'adviser']"
half,15,"['half', 'one-half']"
christmas,15,"['christmas', 'Noel', 'Christmas_Day', 'Christmastime', 'Xmas', 'Christmas', 'Christmastide', 'Dec_25', 'Yuletide', 'Yule']"
steveinmanuic,15,['steveinmanuic']
reason,15,"['reason', 'rationality', 'understanding', 'conclude', 'argue', 'grounds', 'reasonableness', 'cause', 'reason_out', 'ground', 'intellect']"
mind,15,"['mind', 'take_care', 'heed', 'idea', 'brain', 'listen', 'beware', 'head', 'intellect', 'bear_in_mind', 'nous', 'psyche', 'judgment', 'thinker', 'judgement', 'creative_thinker']"
image,15,"['image', 'range', 'prototype', 'ikon', 'mental_image', 'look-alike', 'envision', 'simulacrum', 'see', 'fancy', 'double', 'range_of_a_function', 'trope', 'figure_of_speech', 'visualize', 'picture', 'icon', 'effigy', 'project', 'persona', 'paradigm', 'figure', 'visualise', 'epitome']"
notice,15,"['notice', 'comment', 'placard', 'find', 'posting', 'mark', 'point_out', 'bill', 'acknowledge', 'discover', 'note', 'detect', 'observation', 'poster', 'notification', 'remark', 'observance', 'card', 'observe']"
parler,15,['parler']
monitored,15,"['monitored', 'supervise', 'monitor']"
warning,15,"['warning', 'admonish', 'admonition', 'word_of_advice', 'admonitory', 'discourage', 'monition', 'exemplary', 'cautionary', 'monish', 'monitory', 'warn']"
carlosFREEnow,15,['carlosFREEnow']
stray,15,"['stray', 'drift', 'digress', 'cast', 'isolated', 'roll', 'wander', 'tramp', 'ramble', 'roam', 'range', 'rove', 'vagabond', 'divagate', 'swan', 'err']"
straykids,15,['straykids']
thegooddoctor,15,['thegooddoctor']
shot,14,"['shot', 'scene', 'snap', 'shooting', 'spud', 'changeable', 'dart', 'guessing', 'blast', 'stroke', 'snapshot', 'hit', 'dead_reckoning', 'dash', 'germinate', 'tear', 'charge', 'fritter', 'barb', 'chatoyant', 'jibe', 'stab', 'film', 'fool', 'flash', 'fritter_away', 'photograph', 'sprout', 'shooter', 'iridescent', 'crack', 'frivol_away', 'blastoff', 'pellet', 'fool_away', 'shoot', 'take', 'scoot', 'slam', 'shoot_down', 'pip', 'injection', 'guess', 'gibe', 'buck', 'burgeon_forth', 'dig', 'bourgeon', 'nip', 'shaft', 'dissipate', 'guesswork', 'inject', 'pullulate', 'scud']"
heard,14,"['heard', 'discover', 'see', 'hear', 'get_word', 'pick_up', 'listen', 'try', 'get_wind', 'take_heed', 'get_a_line', 'find_out', 'learn']"
chinese,14,"['chinese', 'Taiwanese', 'Formosan', 'Chinese']"
abortion,14,"['abortion', 'miscarriage']"
ensure,14,"['ensure', 'assure', 'see_to_it', 'secure', 'ascertain', 'see', 'control', 'insure', 'check', 'guarantee']"
city,14,"['city', 'urban_center', 'metropolis']"
knew,14,"['knew', 'screw', 'jazz', 'get_it_on', 'roll_in_the_hay', 'bang', 'sleep_together', 'have_a_go_at_it', 'cognise', 'recognise', 'know', 'cognize', 'bonk', 'acknowledge', 'hump', 'make_out', 'live', 'sleep_with', 'get_laid', 'experience', 'love', 'make_love', 'do_it', 'recognize', 'have_it_off', 'have_sex', 'have_it_away', 'have_intercourse', 'fuck', 'be_intimate', 'lie_with', 'eff', 'bed']"
cannot,14,['cannot']
dangerous,14,"['dangerous', 'grievous', 'grave', 'serious', 'severe', 'life-threatening', 'unsafe']"
crime,14,"['crime', 'law-breaking', 'criminal_offence', 'offense', 'criminal_offense', 'offence']"
breitbartnews,14,['breitbartnews']
beautiful,14,['beautiful']
mike,14,"['mike', 'microphone']"
bring,14,"['bring', 'take', 'land', 'convey', 'lend', 'fetch', 'make_for', 'bring_in', 'bestow', 'work', 'contribute', 'play', 'get', 'wreak', 'add', 'institute', 'impart']"
liberal,14,"['liberal', 'giving', 'openhanded', 'large-minded', 'progressive', 'bighearted', 'tolerant', 'bountiful', 'broad', 'free', 'bounteous', 'freehanded', 'big', 'liberalist', 'loose', 'handsome']"
thinking,14,"['thinking', 'consider', 'thought', 'cerebration', 'recall', 'intend', 'believe', 'think', 'cogitate', 'call_back', 'suppose', 'recollect', 'thought_process', 'reasoning', 'guess', 'remember', 'cerebrate', 'reckon', 'conceive', 'call_up', 'intellection', 'intelligent', 'opine', 'retrieve', 'imagine', 'mentation', 'mean']"
missed,14,"['missed', 'lose', 'overlook', 'pretermit', 'leave_out', 'lack', 'omit', 'escape', 'lost', 'neglect', 'drop', 'overleap', 'miss']"
future,14,"['future', 'future_tense', 'hereafter', 'futurity', 'time_to_come', 'succeeding', 'next']"
riot,14,"['riot', 'bacchanal', 'debauch', 'roister', 'rioting', 'debauchery', 'sidesplitter', 'drunken_revelry', 'belly_laugh', 'scream', 'bacchanalia', 'public_violence', 'saturnalia', 'wow', 'thigh-slapper', 'orgy', 'carouse', 'howler']"
trial,14,"['trial', 'run', 'test', 'trial_run', 'tryout', 'visitation', 'tribulation']"
hear,14,"['hear', 'get_word', 'pick_up', 'get_a_line', 'learn', 'listen', 'get_wind', 'find_out', 'try', 'discover', 'see', 'take_heed']"
guess,14,"['guess', 'guessing', 'imagine', 'reckon', 'estimate', 'gauge', 'hazard', 'judge', 'guesswork', 'shot', 'infer', 'think', 'supposition', 'approximate', 'opine', 'speculation', 'dead_reckoning', 'venture', 'hypothesis', 'surmise', 'suppose', 'pretend', 'conjecture', 'surmisal']"
using,14,"['using', 'utilize', 'use', 'victimization', 'apply', 'utilise', 'practice', 'expend', 'victimisation', 'employ', 'exploitation', 'habituate']"
