Token,Hypernyms
mike,['electro-acoustic_transducer.n.01']
bring,"['transport.v.02', 'change.v.01', 'make.v.03', 'transmit.v.04', 'change.v.01', 'make.v.03', 'change.v.01', 'attract.v.01', 'induce.v.02']"
liberal,"['adult.n.01', 'adult.n.01']"
thinking,"['higher_cognitive_process.n.01', 'evaluate.v.02', 'expect.v.01', 'imagine.v.01', 'concentrate.v.02', 'think.v.03', 'think.v.03', 'think.v.01', 'think.v.03', 'change.v.01']"
missed,"['desire.v.01', 'fail.v.01', 'fail.v.02', 'avoid.v.01']"
future,"['time.n.05', 'tense.n.01', 'commodity.n.01']"
riot,"['violence.n.01', 'disorder.n.03', 'joke.n.01', 'revel.n.01', 'rampage.v.01', 'revel.v.02']"
trial,"['attempt.n.01', 'experiment.n.02', 'attempt.n.01', 'proceeding.n.01', 'contest.n.01', 'affliction.n.03']"
hear,"['perceive.v.01', 'probe.v.01', 'pick_up.v.09', 'concentrate.v.02']"
guess,"['opinion.n.02', 'estimate.n.01', 'expect.v.01', 'speculate.v.02', 'calculate.v.01', 'solve.v.01']"
using,"['mistreatment.n.01', 'consume.v.02', 'exploit.v.01', 'act.v.01']"
calling,"['occupation.n.01', 'label.v.01', 'label.v.01', 'telecommunicate.v.01', 'utter.v.02', 'order.v.01', 'meet.v.02', 'request.v.01', 'read.v.03', 'telecommunicate.v.01', 'utter.v.02', 'postpone.v.01', 'address.v.01', 'stop.v.04', 'demand.v.03', 'play.v.01', 'indicate.v.03', 'guess.v.02', 'ask.v.04', 'challenge.v.01', 'declare.v.04', 'entice.v.01', 'order.v.02', 'request.v.02', 'utter.v.02', 'challenge.v.01', 'see.v.05', 'awaken.v.01']"
speakerpelosi,
facebook,
based,"['situate.v.01', 'drug.v.02']"
wrong,"['injustice.n.02', 'injury.n.05', 'treat.v.01']"
folk,"['people.n.01', 'social_group.n.01', 'lineage.n.01', 'popular_music.n.01']"
newsmax,
cruz,
seanhannity,
promise,"['commitment.n.04', 'speech_act.n.01', 'expectation.n.01', 'declare.v.01', 'declare.v.01', 'guess.v.02', 'be.v.01']"
dear,"['lover.n.01', 'innocent.n.01']"
play,"['dramatic_composition.n.01', 'show.n.03', 'plan_of_action.n.01', 'motion.n.06', 'action.n.02', 'use.n.01', 'attempt.n.01', 'diversion.n.01', 'measure.n.02', 'freedom.n.01', 'change.n.01', 'wit.n.01', 'movability.n.01', 'diversion.n.01', 'activity.n.01', 'diversion.n.01', 'vice.n.02', 'action.n.01', 'compete.v.01', 'act.v.01', 'perform.v.03', 're-create.v.01', 'act.v.08', 're-create.v.01', 'sound.v.06', 'act.v.02', 'travel.v.01', 'gamble.v.02', 'simulate.v.03', 'sound.v.03', 'perform.v.03', 'deploy.v.01', 'act.v.02', 'act.v.01', 'manipulate.v.02', 'exploit.v.01', 'consider.v.03', 'act.v.01', 'move.v.02', 'perform.v.03', 'make.v.03', 'discharge.v.02', 'bet.v.02', 'gamble.v.02', 'hit.v.01', 'use.v.01', 'use.v.01', 'exhaust.v.01']"
held,"['direct.v.04', 'see.v.05', 'feel.v.01', 'disable.v.01', 'keep.v.03', 'have.v.01', 'include.v.01', 'continue.v.01', 'exist.v.01', 'affirm.v.02', 'be.v.01', 'be.v.01', 'request.v.01', 'protect.v.01', 'relate.v.05', 'capture.v.02', 'think.v.01', 'resist.v.02', 'refer.v.02', 'postpone.v.01', 'restrain.v.01', 'prevent.v.02', 'control.v.01', 'stop.v.05', 'cover.v.01', 'drink.v.02', 'aim.v.01', 'evaluate.v.02', 'restrain.v.01']"
2021,
dead,"['people.n.01', 'time.n.03']"
seems,"['be.v.01', 'be.v.01', 'be.v.01', 'appear.v.04']"
safe,"['strongbox.n.01', 'cupboard.n.01', 'contraceptive.n.01']"
least,['matter.n.01']
putin,[]
navalny,
yorkietime2,
direct,"['order.v.01', 'aim.v.01', 'make.v.03', 'manage.v.02', 'move.v.02', 'position.v.01', 'perform.v.01', 'instruct.v.03', 'intend.v.02', 'control.v.01', 'label.v.01', 'plan.v.02']"
damn,"['worthlessness.n.01', 'raise.v.07']"
communist,"['politician.n.02', 'socialist.n.01']"
ava4usa,
iamsrk,
Pfannkuchen,['pancake.n.01']
statsawards,
dieci,
entire,['male_horse.n.01']
couple,"['pair.n.03', 'family.n.02', 'small_indefinite_quantity.n.01', 'two.n.01', 'unit.n.05', 'join.v.02', 'attach.v.01', 'unite.v.01', 'join.v.04']"
admin,
longer,['person.n.01']
michigan,['card_game.n.01']
happened,"['happen.v.01', 'chance.v.01', 'happen.v.01']"
check,"['draft.n.01', 'appraisal.n.01', 'bill.n.02', 'inaction.n.01', 'proof.n.01', 'inspection.n.01', 'mark.n.10', 'difficulty.n.02', 'blemish.n.01', 'weave.n.01', 'restraint.n.01', 'obstruction.n.05', 'chess_move.n.01', 'analyze.v.01', 'examine.v.02', 'verify.v.01', 'restrain.v.01', 'stop.v.01', 'verify.v.01', 'change.v.01', 'equal.v.01', 'obstruct.v.01', 'develop.v.12', 'consign.v.02', 'consign.v.02', 'stop.v.01', 'stop.v.01', 'draw.v.06', 'move.v.15', 'defend.v.02', 'attack.v.03', 'write_out.v.02', 'verify.v.01', 'stop.v.05', 'crack.v.11', 'change.v.02']"
allowed,"['accept.v.03', 'give.v.03', 'assign.v.02', 'yield.v.01', 'calculate.v.02', 'discount.v.02', 'permit.v.01']"
difference,"['quality.n.01', 'variation.n.01', 'disagreement.n.03', 'change.n.02', 'number.n.02']"
face,"['external_body_part.n.01', 'countenance.n.01', 'appearance.n.01', 'surface.n.01', 'person.n.01', 'surface.n.02', 'external_body_part.n.01', 'front.n.04', 'facial_expression.n.01', 'type.n.04', 'status.n.01', 'aggressiveness.n.01', 'vertical_surface.n.01', 'set_about.v.01', 'meet.v.10', 'lie.v.01', 'be.v.03', 'turn.v.01', 'disclose.v.02', 'line.v.02', 'cover.v.01']"
started,"['leave.v.01', 'make.v.03', 'begin.v.03', 'move.v.03', 'play.v.01', 'be.v.01', 'act.v.01', 'change_shape.v.01']"
energy,"['physical_phenomenon.n.01', 'force.n.03', 'drive.n.05', 'liveliness.n.02', 'good_health.n.01', 'physical_phenomenon.n.01', 'executive_department.n.01']"
sick,"['people.n.01', 'excrete.v.01']"
flotus,
court,"['assembly.n.04', 'room.n.01', 'government.n.01', 'playing_field.n.02', 'cortege.n.02', 'hotel.n.01', 'court.n.01', 'residence.n.02', 'area.n.05', 'deference.n.01', 'act.v.01', 'act.v.01']"
general,"['general_officer.n.01', 'head.n.04', 'fact.n.01', 'command.v.01']"
following,"['multitude.n.03', 'motion.n.06', 'travel.v.01', 'result.v.01', 'travel.v.01', 'obey.v.01', 'result.v.01', 'imitate.v.01', 'be.v.03', 'choose.v.01', 'imitate.v.01', 'analyze.v.01', 'check.v.01', 'play.v.03', 'originate.v.01', 'act.v.02', 'practice.v.04', 'travel.v.01', 'understand.v.01', 'persevere.v.01']"
hello,['greeting.n.01']
success,"['happening.n.01', 'attainment.n.01', 'prosperity.n.02', 'person.n.01']"
panademic,
dress,"[""woman's_clothing.n.01"", 'clothing.n.01', 'clothing.n.01', 'change.v.02', 'change_state.v.01', 'finish.v.04', 'dress.v.01', 'overdress.v.02', 'cook.v.02', 'position.v.01', 'decorate.v.01', 'arrange.v.01', 'put_on.v.07', 'thin_out.v.01', 'pare.v.04', 'convert.v.02', 'treat.v.03', 'fancify.v.01', 'groom.v.03']"
